sentence,exrecise,feeling
i took a fast walk for an hour. i felt sweaty and out of breath after i got home.,fast walk,"sweaty, out of breath"
i jogged for about a half-mile. i thought i was going to pass out.,jogged,pass out
i just ran 4 miles on the track. i feel exhausted.,ran,exhausted
i did a set of mountain climbers i feel tired.,mountain climbers,tired
i ran 5 miles it was exhausting,ran,exhausting
i swam in the pool for an hour it was refreshing,swam,refreshing
i played volleyball for one hour i feel so tired,volleyball,tired
i just ran four miles i feel so much energy,ran,energy
i did yoga it feel good,yoga,good
i went biking it is relaxing,biking,relaxing
i ran a long run of two and a quarter hours i felt ok today. i had a rough patch around the hour mark,ran,ok
i ran easy for forty five minutes felt tired from yesterday's workout.,ran,tired
i just finished 35 minutes on the elliptical machine. i felt out of shape!,elliptical,out of shape
i just did a 5 mile beach bike! i felt invigorated and sweaty !,bike,"invigorated, sweaty"
"i ran two miles on the treadmill. i am out of breath, sweaty and need to drink something,",ran,"out of breath, sweaty, need to drink"
i just pedaled ten miles on the stationary bike. my legs feel like yello and i can barely walk.,pedaled,"yello, can barely walk"
i did fifty jumping jacks. i was a little out of breath.,jumping jacks,out of breath
i did 8 push ups my arms hurt and i feel awful,push ups,"arms hurt, awful"
i do pull ups everyday. i feel invigorated when doing pull ups..,pull ups,invigorated
i do dips daily. i feel strong after doing dips,dips,strong
i spent 30 minutes on the elliptical.  i felt very accomplished.,elliptical,accomplished
i spent 15 minutes on the indoor bike. i felt very drained.,indoor bike,drained
i ran 1 mile. had a hard time breathing after.,ran,hard time breathing
i did 100 sit-ups. my stomach hurts and it was hard.,sit-ups,"stomach hurts, hard"
i did  my spin bike for 30 minutes. i felt tired but happy i fnished.,spin bike,"tired, happy"
i lifted weights for 30 minutes. i felt tired.,lifted weights,tired
i jogged for three miles on a track. i felt winded.,jogged,winded
i did forty push-ups. i felt strained.,push-ups,strained
i just ran my first 5k postpartum. i feel like death.,ran,death
i just did a zumba workout for 30 minutes on youtube i could barely keep up and had to keep pausing the video,zumba,barely keep up
i performed five sets of dumbbell squats i felt tired,dumbbell squats,tired
i ran one mile on the treadmill  i felt energized,ran,energized
i ran four miles outside on the road. i felt like my endurance was great but my knee started to hurt.,ran,"great, hurt"
"i did a leg workout including squats and lunges. my legs were shaking after the workout, it was very difficult.",leg workout,"shaking, difficult"
i rode a bike in gym 7 miles i felt great,bike,great
30 minutes on a treadmill i felt satisfied,treadmill,satisfied
i love to do swimming i feel great,swimming,great
i love to play tennis it feels great,tennis,great
i just completed 60 minutes on the treadmill. i feel great!,treadmill,great
my next workout was the row machine. my shoulders feel fatigued.,row,fatigued
i have just done 20 push ups  my body feels ready for next excercise.,push ups,ready
i did 20 pull up yesterday.  my arms are tired now.,pull up,tired
ijust finished doing a plank for 3 minutes i felt good after doing it,plank,good
[idid a plank running in place for 1 minute i felt good,plank,good
i walked 18 holes of golf carrying my golf bag around the course. i am sore all over.,"walked, carrying",sore
i ran two miles on a treadmill i was really out of breath and felt exhausted and sweaty.,ran,"out of breath, exhausted, sweaty"
i did 50 jumping jacks. i felt great!,jumping jacks,great
i did 5 pushups. my arms were tired!!,pushups,tired
i do walking i felt very tired,walking,very tired
i do jogging i felt very tired,jogging,very tired
i did 50 squats i feel very tired and sore,squats,"tired, sore"
i ran 1 mile around the track i feel sick to my stomach,ran,sick
i just did a warm up exercise. it felt very productive.,warm up,productive
i just did a warm up set of lifting. it felt like burning.,lifting,burning
i made 50 push ups in a row it was exhausting,push ups,exhausting
i made 3 sets of parallel bar dips i'm really tired,parallel bar dips,tired
i just did chest volume workout 1 fatigued from the finisher need nutrition fast,chest volume,fatigued
squat bar speed workout one good can get through 30 minutes of plyos,squat,good
i ran for 4 miles today! i felt like i had a lot of endurance while running.,ran,had a lot of endurance
i also did 50 burpees when i finished running. i was exhausted after completing the burpees.,burpees,exhausted
i did 20 jumping jacks i'm slightly out of breath,jumping jacks,slightly out of breath
jogging in place 2 minutes breathless for a couple of minutes,jogging,out of breath
i walked the neighborhood today  it felt good to get out,walked,good
i did a youtube workout  it was hard but felt good,youtube,"hard, good"
i just lifted weighs at the gym i'm feeling tired but energetic and accomplished,lifted,"tired, energetic, accomplished"
i played 45 minutes of soccer with my friends  my legs are so tired,soccer,tired
i ran and walked two miles on the treadmill. i felt tired and bored.,ran and walked,"tired, bored"
"i did one hour of a yoga class. i feel relaxed, calm, and happy.",yoga,"relaxed, calm, happy"
just ran two miles very tired,ran,very tired
20 squats x 3 my legs burn,squats,my legs burn
"i ran a 3.5 mile loop, most of which was on a crushed cinder track. i was very tired, but felt strong during the last half mile.",ran,"very tired, strong"
i just finished doing a total of 160 situps. i barely finished and my middle feels sore!,situps,my middle feels sore
i played volleyball for three hours earlier i still feel really sore,volleyball,sore
i ran 2.5 miles in twenty minutes this morning i feel parched and tired,ran,"parched, tired"
"i cross country skied 4 miles. i was nervous to fall, but didn't at all!",skied,nervous
i rode my bike on the trainer for 1 hour. my legs were tired at the end.,rode,tired
"ran 5 miles on the treadmill felt good while running, but was tired afterwards.",ran,"good, tired"
"i lifted weights in the gym for 30 minutes. i felt really strong during the workout, and didn't feel sore afterwards.",lifted weights,"strong, didn't feel sore"
i rode 30 miles on my bike today.  my legs feel shaky and i am exhausted.,bike,"shaky, exhausted"
i used the step climber for 30 minutes.  i am totally drained.,step climber,drained
i walked half an hour on the treadmill. i felt exhausted and dehydrated.,walked,"exhausted, dehydrated"
i rode the stationary bike 5 miles. i felt sweaty and out of breath.,rode,"sweaty, out of breath"
i ran for two miles on a treadmill it was great!,ran,great
i did chest presses on the squat rack i'm a little sore,chest presses,sore
i just jogged on the treadmill for 45 minutes1 my legs are so sore.,jogged,so sore
i swam 30 laps at my local gym. i could use a nap after that workout.,swam,nap
i did five sets of push-up i felt so drained and weak,push-up,"drained, weak"
i did a swiss ball hamstring curl today. i felt unbalance.,swiss ball hamstring curl,unbalance
i did a boxing class at the gym excited but tired,boxing class,"excited, tired"
"ran 30 minutes on the treadmill i felt really tired, but happy i completed my goal",ran,"really tired, happy"
i just did 15 minutes on the bike. my legs are really sore!,bike,sore
i walked around the house for 20 minutes. i enjoyed walking and listening to music.,walked,enjoyed
i did 10 sets of 20 steps today. i couldn't hardly get through it.  i'm so out of shape.,steps,"get through it, out of shape"
i did a 30 minute yoga workout today it felt great and allowed me to work out some aches and pains.,yoga workout,"great, work out"
i just completed 100 squats my legs are killing me,squats,killing
i just finished bench pressing for 20 minutes. i feel very strong.,bench pressing,strong
i did a yoga routine for one hour. it was very difficult and my muscles hurt afterward.,yoga routine,difficult
i ran 3 miles. i was totally worn out.,ran,worn
i did 30 minutes on a spin bike. i was out of breath!,spin bike,out of breath
i walked outside for 20 mintues. i felt energized and ready for the afternoon!,walked,"energized, ready for the afternoon"
i do jogging i felt tired,jogging,tired
i do walking i am very tired,walking,very tired
i just walked 3 miles i am very relaxed,walked,relaxed
i just finished 30 minutes of weight lifting i feel like i need to workout more,weight lifting,workout more
i just did 45 minutes on the elliptical. i feel great and energized.,elliptical,"great, energized"
i just finished a group barre class. it was exhausting and now i feel sore.,group barre class,"exhausting, sore"
i ran 5km i felt out of breath and really tired,ran,"out of breath, tired"
i skip roped for 10 minutes i felt quitting during the workout,skip roped,quitting
i went to a kickboxing class at the gym. i was exhausted!,kickboxing class,exhausted
i went for a walk with my dog in the park. i was very relaxed.,walk,relaxed
i was out of breath from the running in place. i couldn't keep up with the group and was embarrassed.,running,"couldn't keep up, embarrassed"
i couldn't do many pushups because my arms gave out. i felt defeated and inadequate.,pushups,"defeated, inadequate"
i did a dumb bell exercise for 30 minutes  i felt okay and wanted to do it again!,dumb bell exercise,okay
i took a fast walk for half an hour. i felt very good! especially in an outdoor environment.,fast walk,very good
i benched 225 pounds for one rep i was pumped,benched,pumped
"i did fours sets of flys, 50 pounds for ten reps i need to go up in weight",flys,go up
i just ran a mile on the treadmill. i feel out of breath.,ran,out of breath
i did 40 minutes of bicycling.  i feel tired.,bicycling,tired
